,customer_id,join_date,subscription_plan,payment_method,region,age,gender,churned,date_of_last_login,days_since_last_login,tenure_days
81,82,2020-04-19,Basic,PayPal,East,21,Male,0,2023-12-17,14,1351
82,83,2021-04-17,Free,Credit Card,East,38,Male,1,2022-05-27,583,405
83,84,2020-06-19,Premium,Debit,East,28,Female,1,2022-11-12,414,876
84,85,2020-01-26,Basic,PayPal,North,44,Prefer not to answer,0,2023-12-08,23,1435
85,86,2020-05-30,Free,Debit,West,24,Male,0,2023-12-24,7,1310
86,87,2023-07-19,Basic,Credit Card,East,31,Female,0,2023-12-02,29,165
87,88,2021-04-30,Basic,Credit Card,North,66,Female,1,2023-09-24,98,877
88,89,2023-11-14,Premium,PayPal,North,25,Male,0,2023-12-28,3,47
89,90,2023-12-23,Basic,Credit Card,South,49,Male,0,2023-12-27,4,8
90,91,2021-10-14,Premium,Debit,North,51,Female,0,2023-12-22,9,808
91,92,2020-09-02,Basic,Debit,West,44,Prefer not to answer,0,2023-12-08,23,1215
92,93,2023-03-22,Basic,Debit,West,19,Prefer not to answer,0,2023-12-20,11,284
93,94,2022-10-01,Basic,Credit Card,North,39,Male,1,2023-02-13,321,135
94,95,2022-07-11,Free,Credit Card,North,40,Male,0,2023-12-27,4,538
95,96,2021-06-24,Premium,Credit Card,North,52,Female,0,2023-12-16,15,920
96,97,2020-06-02,Premium,Credit Card,North,41,Female,0,2023-12-02,29,1307
97,98,2023-07-06,Basic,Credit Card,East,58,Female,1,2023-11-20,41,137
98,99,2022-12-07,Premium,PayPal,West,21,Male,0,2023-12-04,27,389
99,100,2023-06-22,Premium,Credit Card,North,31,Prefer not to answer,1,2023-10-15,77,115
100,101,2023-11-10,Basic,Credit Card,West,32,Male,1,2023-12-29,2,49
101,102,2020-02-10,Premium,Debit,West,64,Male,0,2023-12-17,14,1420
102,103,2023-03-14,Basic,Credit Card,West,61,Prefer not to answer,1,2023-10-22,70,222
103,104,2023-03-13,Free,Credit Card,West,62,Female,0,2023-12-01,30,293
104,105,2023-04-16,Premium,PayPal,North,58,Female,0,2023-12-18,13,259
105,106,2020-03-22,Free,PayPal,West,55,Prefer not to answer,0,2023-12-16,15,1379
106,107,2023-08-13,Free,PayPal,North,52,Prefer not to answer,0,2023-12-17,14,140
107,108,2020-11-16,Premium,Credit Card,East,66,Prefer not to answer,0,2023-12-18,13,1140
108,109,2023-04-08,Premium,Credit Card,East,52,Prefer not to answer,0,2023-12-22,9,267
109,110,2022-07-09,Free,Credit Card,North,34,Female,1,2023-07-18,166,374
110,111,2021-04-28,Free,Debit,West,20,Male,0,2023-12-26,5,977
111,112,2021-11-14,Basic,PayPal,East,25,Male,0,2023-12-09,22,777
112,113,2023-08-15,Basic,PayPal,South,34,Female,0,2023-12-31,0,138
113,114,2023-12-18,Premium,Credit Card,South,62,Female,0,2023-12-22,9,13
114,115,2022-10-24,Premium,Debit,West,23,Male,0,2023-12-16,15,433
115,116,2021-05-09,Free,Debit,East,59,Female,0,2023-12-16,15,966
116,117,2021-11-28,Premium,Credit Card,East,62,Female,0,2023-12-24,7,763
117,118,2021-03-10,Basic,PayPal,North,48,Male,0,2023-12-18,13,1026
118,119,2021-03-30,Premium,PayPal,West,56,Female,0,2023-12-30,1,1006
119,120,2022-10-07,Basic,PayPal,North,24,Female,0,2023-12-15,16,450
120,121,2022-03-12,Free,Debit,South,48,Male,0,2023-12-15,16,659
121,122,2021-05-05,Basic,Credit Card,South,62,Female,0,2023-12-13,18,970
122,123,2023-03-11,Basic,Debit,East,21,Male,0,2023-12-19,12,295
123,124,2022-10-18,Basic,PayPal,North,63,Female,0,2023-12-01,30,439
124,125,2020-01-28,Premium,PayPal,West,42,Female,1,2023-08-26,127,1306
125,126,2020-04-18,Premium,Credit Card,South,28,Male,0,2023-12-08,23,1352
126,127,2022-06-27,Basic,PayPal,North,63,Male,1,2023-01-09,356,196
127,128,2023-03-12,Basic,Debit,East,59,Female,0,2023-12-07,24,294
128,129,2023-09-16,Premium,Credit Card,South,34,Prefer not to answer,1,2023-12-26,5,101
129,130,2023-08-07,Basic,Credit Card,North,18,Female,1,2023-10-13,79,67
130,131,2023-10-04,Basic,Credit Card,West,29,Male,1,2023-12-06,25,63
131,132,2021-09-16,Premium,Credit Card,East,63,Female,0,2023-12-21,10,836
132,133,2020-12-27,Basic,Credit Card,East,44,Male,1,2021-04-15,990,109
133,134,2023-12-01,Free,Debit,South,49,Prefer not to answer,1,2023-12-16,15,15
134,135,2022-01-26,Basic,Debit,South,52,Female,0,2023-12-06,25,704
135,136,2020-01-19,Basic,Debit,West,31,Female,0,2023-12-23,8,1442
136,137,2023-12-22,Basic,Credit Card,West,28,Male,1,2024-01-01,-1,10
137,138,2023-04-13,Free,Debit,North,66,Female,0,2023-12-04,27,262
138,139,2020-02-28,Basic,PayPal,South,49,Female,0,2023-12-14,17,1402
139,140,2020-03-26,Basic,PayPal,East,45,Female,0,2023-12-18,13,1375
140,141,2021-01-26,Basic,PayPal,South,52,Prefer not to answer,0,2023-12-04,27,1069
141,142,2020-06-25,Basic,Credit Card,South,48,Male,0,2023-12-24,7,1284
142,143,2021-01-04,Premium,Debit,North,50,Female,0,2023-12-04,27,1091
143,144,2023-11-01,Free,PayPal,North,69,Male,1,2023-11-18,43,17
144,145,2022-01-22,Basic,Debit,West,29,Prefer not to answer,0,2023-12-30,1,708
145,146,2021-06-06,Basic,Credit Card,South,26,Prefer not to answer,0,2023-12-08,23,938
146,147,2022-06-03,Premium,Credit Card,West,39,Prefer not to answer,0,2023-12-25,6,576
147,148,2021-01-26,Premium,Credit Card,South,26,Prefer not to answer,0,2023-12-27,4,1069
148,149,2020-10-20,Basic,Credit Card,North,26,Male,0,2023-12-28,3,1167
149,150,2021-02-01,Basic,Credit Card,South,55,Female,0,2023-12-29,2,1063
150,151,2023-12-02,Premium,PayPal,South,44,Prefer not to answer,0,2023-12-24,7,29
151,152,2020-11-10,Basic,PayPal,West,54,Prefer not to answer,0,2023-12-06,25,1146
152,153,2023-04-17,Basic,Credit Card,East,39,Prefer not to answer,1,2023-07-25,159,99
153,154,2022-04-25,Basic,PayPal,East,31,Prefer not to answer,1,2023-08-19,134,481
154,155,2021-03-25,Basic,Credit Card,North,45,Prefer not to answer,0,2023-12-20,11,1011
155,156,2023-02-25,Basic,Debit,East,28,Female,1,2023-08-20,133,176
156,157,2021-09-17,Premium,Credit Card,North,36,Female,0,2023-12-08,23,835
157,158,2021-02-22,Premium,Credit Card,North,26,Male,0,2023-12-22,9,1042
158,159,2023-07-28,Free,PayPal,West,21,Female,1,2023-08-12,141,15
159,160,2020-08-12,Basic,Credit Card,East,41,Prefer not to answer,0,2023-12-22,9,1236
160,161,2021-03-24,Basic,Debit,West,44,Female,0,2023-12-07,24,1012
161,162,2020-12-19,Premium,PayPal,North,61,Female,0,2023-12-16,15,1107
162,163,2023-10-27,Free,PayPal,East,46,Female,1,2023-11-22,39,26
163,164,2020-05-10,Premium,PayPal,West,31,Prefer not to answer,0,2023-12-19,12,1330
164,165,2022-04-02,Premium,Debit,East,62,Female,1,2023-07-27,157,481
165,166,2020-10-04,Basic,Debit,South,57,Prefer not to answer,0,2023-12-12,19,1183
166,167,2023-05-04,Premium,PayPal,East,68,Prefer not to answer,1,2023-10-18,74,167
167,168,2020-08-19,Free,Debit,East,55,Prefer not to answer,1,2023-01-20,345,884
168,169,2021-08-19,Premium,Credit Card,South,63,Prefer not to answer,1,2022-11-09,417,447
169,170,2022-07-24,Basic,Credit Card,West,35,Male,0,2023-12-11,20,525
170,171,2022-09-25,Free,PayPal,East,19,Prefer not to answer,0,2023-12-25,6,462
171,172,2020-12-28,Basic,Debit,North,58,Male,0,2023-12-28,3,1098
172,173,2023-03-06,Basic,Credit Card,East,23,Female,0,2023-12-02,29,300
173,174,2021-01-25,Premium,PayPal,East,53,Female,0,2023-12-18,13,1070
174,175,2020-01-28,Basic,Debit,South,35,Male,1,2020-06-21,1288,145
175,176,2022-09-27,Premium,Credit Card,East,47,Female,0,2023-12-08,23,460
176,177,2023-04-10,Premium,Credit Card,North,18,Male,0,2023-12-20,11,265
177,178,2020-11-09,Basic,Credit Card,South,22,Female,1,2021-10-02,820,327
178,179,2022-12-20,Premium,PayPal,South,55,Female,0,2023-12-21,10,376
179,180,2021-01-10,Premium,Credit Card,South,40,Female,0,2023-12-01,30,1085
180,181,2023-07-17,Premium,Debit,South,54,Female,1,2023-08-11,142,25
181,182,2023-04-05,Basic,Debit,East,19,Male,0,2023-12-27,4,270
182,183,2023-09-20,Basic,Credit Card,North,61,Female,1,2023-10-10,82,20
183,184,2020-03-12,Premium,Debit,North,41,Prefer not to answer,0,2023-12-15,16,1389
184,185,2023-07-11,Basic,PayPal,North,31,Male,1,2023-11-24,37,136
185,186,2021-04-28,Basic,Debit,South,45,Female,0,2023-12-03,28,977
186,187,2021-05-30,Basic,Credit Card,South,19,Male,0,2023-12-13,18,945
187,188,2023-02-16,Premium,Credit Card,East,40,Prefer not to answer,0,2023-12-28,3,318
188,189,2023-09-08,Premium,PayPal,West,47,Female,0,2023-12-31,0,114
189,190,2021-01-12,Basic,Debit,West,38,Male,0,2023-12-19,12,1083
190,191,2020-08-20,Basic,Debit,East,38,Female,0,2023-12-13,18,1228
191,192,2022-07-02,Basic,PayPal,West,67,Male,0,2023-12-28,3,547
192,193,2021-05-07,Premium,Debit,North,40,Prefer not to answer,1,2023-08-14,139,829
193,194,2021-12-16,Premium,Credit Card,North,20,Male,0,2023-12-27,4,745
194,195,2021-03-30,Premium,PayPal,East,66,Prefer not to answer,0,2023-12-24,7,1006
195,196,2021-02-08,Basic,PayPal,South,18,Prefer not to answer,0,2023-12-03,28,1056
196,197,2022-11-14,Basic,PayPal,South,60,Female,0,2023-12-26,5,412
197,198,2023-04-26,Basic,Debit,East,66,Female,0,2023-12-14,17,249
198,199,2020-07-09,Premium,PayPal,West,19,Male,0,2023-12-02,29,1270
199,200,2023-10-25,Free,PayPal,North,35,Prefer not to answer,0,2023-12-04,27,67
200,201,2020-02-23,Premium,Credit Card,North,58,Prefer not to answer,0,2023-12-17,14,1407
201,202,2020-08-04,Basic,PayPal,East,22,Male,0,2023-12-31,0,1244
202,203,2023-07-11,Basic,PayPal,East,55,Female,1,2023-12-09,22,151
203,204,2021-11-17,Free,Debit,South,30,Prefer not to answer,0,2023-12-24,7,774
204,205,2020-08-31,Basic,Debit,East,66,Female,1,2022-10-10,447,770
205,206,2021-07-06,Basic,PayPal,North,37,Prefer not to answer,0,2023-12-04,27,908
206,207,2023-06-30,Premium,PayPal,North,57,Female,0,2023-12-11,20,184
207,208,2020-07-17,Basic,Credit Card,North,21,Male,1,2021-02-08,1056,206
208,209,2021-05-04,Premium,Debit,West,31,Female,0,2023-12-31,0,971
209,210,2020-07-02,Basic,Credit Card,West,27,Male,1,2022-05-14,596,681
210,211,2020-09-26,Basic,Debit,East,50,Prefer not to answer,0,2023-12-07,24,1191
211,212,2023-03-24,Basic,PayPal,East,19,Prefer not to answer,0,2023-12-20,11,282
212,213,2021-09-07,Basic,PayPal,East,21,Female,0,2023-12-28,3,845
213,214,2022-04-23,Basic,Credit Card,East,33,Female,0,2023-12-20,11,617
214,215,2022-10-02,Premium,Debit,South,57,Female,0,2023-12-20,11,455
215,216,2021-12-01,Premium,Debit,South,67,Female,0,2023-12-09,22,760
216,217,2020-05-27,Premium,PayPal,West,55,Prefer not to answer,0,2023-12-07,24,1313
217,218,2022-05-03,Basic,Debit,West,24,Female,0,2023-12-01,30,607
218,219,2020-03-07,Basic,Credit Card,West,46,Prefer not to answer,0,2023-12-27,4,1394
219,220,2022-10-09,Free,Debit,South,40,Female,0,2023-12-21,10,448
220,221,2022-07-30,Basic,PayPal,South,66,Male,0,2023-12-14,17,519
221,222,2023-02-10,Basic,PayPal,North,48,Female,0,2023-12-01,30,324
222,223,2022-02-09,Premium,PayPal,North,68,Male,0,2023-12-07,24,690
223,224,2023-09-23,Free,Credit Card,East,54,Male,0,2023-12-31,0,99
224,225,2022-10-26,Basic,Debit,East,51,Female,1,2023-03-24,282,149
225,226,2022-01-08,Premium,Credit Card,South,57,Female,0,2023-12-07,24,722
226,227,2021-03-01,Basic,PayPal,East,58,Female,1,2022-09-02,485,550
227,228,2023-10-23,Premium,PayPal,North,65,Female,0,2023-12-09,22,69
228,229,2020-05-26,Premium,PayPal,South,60,Female,1,2020-07-28,1251,63
229,230,2020-04-13,Basic,Debit,South,41,Prefer not to answer,0,2023-12-03,28,1357
230,231,2023-08-24,Premium,PayPal,East,21,Female,1,2023-10-10,82,47
231,232,2022-12-22,Free,Debit,South,65,Prefer not to answer,0,2023-12-21,10,374
232,233,2023-08-08,Free,Credit Card,East,55,Female,1,2023-12-27,4,141
233,234,2021-11-26,Premium,Credit Card,South,19,Female,0,2023-12-18,13,765
234,235,2023-06-10,Premium,Debit,North,67,Female,1,2023-10-31,61,143
235,236,2022-12-19,Basic,Credit Card,West,26,Prefer not to answer,0,2023-12-26,5,377
236,237,2021-08-06,Free,PayPal,North,61,Male,0,2023-12-15,16,877
237,238,2022-01-10,Free,PayPal,North,46,Prefer not to answer,0,2023-12-28,3,720
238,239,2023-07-04,Basic,Credit Card,South,44,Prefer not to answer,0,2023-12-30,1,180
239,240,2022-09-22,Premium,Credit Card,West,66,Female,0,2023-12-21,10,465
240,241,2021-12-13,Free,Credit Card,North,55,Prefer not to answer,1,2023-10-23,69,679
241,242,2022-09-08,Basic,PayPal,North,58,Female,0,2023-12-07,24,479
242,243,2022-11-14,Free,Debit,East,28,Female,0,2023-12-20,11,412
243,244,2022-03-10,Premium,Credit Card,North,38,Prefer not to answer,1,2023-02-17,317,344
244,245,2023-09-16,Free,Credit Card,South,25,Prefer not to answer,0,2023-12-12,19,106
245,246,2023-01-29,Basic,Credit Card,East,42,Male,0,2023-12-19,12,336
246,247,2022-01-01,Premium,Credit Card,North,19,Male,0,2023-12-13,18,729
247,248,2020-02-23,Free,PayPal,North,30,Male,0,2023-12-14,17,1407
248,249,2021-05-31,Premium,PayPal,West,58,Male,0,2023-12-01,30,944
249,250,2022-11-07,Premium,Debit,East,47,Male,0,2023-12-15,16,419
250,251,2022-01-09,Premium,PayPal,East,49,Female,1,2022-11-13,413,308
251,252,2023-04-18,Basic,Credit Card,North,28,Male,0,2023-12-11,20,257
252,253,2022-01-13,Basic,PayPal,West,47,Female,0,2023-12-11,20,717
253,254,2020-07-31,Basic,Credit Card,North,57,Male,0,2023-12-19,12,1248
254,255,2021-05-18,Basic,Debit,North,47,Prefer not to answer,0,2023-12-15,16,957
255,256,2023-10-28,Premium,Debit,North,30,Female,0,2023-12-24,7,64
256,257,2020-05-07,Basic,PayPal,North,56,Prefer not to answer,0,2023-12-17,14,1333
257,258,2020-06-04,Basic,PayPal,West,31,Male,0,2023-12-18,13,1305
258,259,2023-11-27,Premium,Credit Card,West,19,Prefer not to answer,0,2023-12-09,22,34
259,260,2022-02-13,Free,Debit,East,54,Female,1,2022-07-26,523,163
260,261,2020-08-10,Basic,PayPal,East,47,Male,0,2023-12-12,19,1238
261,262,2021-07-18,Basic,Credit Card,North,65,Male,1,2023-07-13,171,725
262,263,2021-04-14,Free,Debit,West,63,Female,0,2023-12-28,3,991
263,264,2023-04-26,Premium,Credit Card,West,67,Male,0,2023-12-27,4,249
264,265,2023-06-02,Basic,Credit Card,West,26,Prefer not to answer,1,2023-09-19,103,109
265,266,2023-12-02,Basic,Credit Card,West,62,Prefer not to answer,0,2023-12-14,17,29
266,267,2021-12-10,Basic,Credit Card,North,22,Female,0,2023-12-20,11,751
267,268,2020-10-18,Premium,PayPal,West,56,Prefer not to answer,1,2023-12-26,5,1164
268,269,2022-03-14,Free,Credit Card,South,25,Female,0,2023-12-04,27,657
269,270,2021-04-20,Premium,Debit,West,53,Male,0,2023-12-22,9,985
270,271,2022-09-15,Premium,PayPal,East,29,Female,0,2023-12-16,15,472
271,272,2023-07-16,Basic,Credit Card,West,30,Male,1,2023-11-27,34,134
272,273,2023-07-04,Premium,Credit Card,South,38,Prefer not to answer,0,2023-12-08,23,180
273,274,2022-09-26,Premium,PayPal,North,46,Prefer not to answer,0,2023-12-03,28,461
274,275,2022-02-28,Basic,Debit,South,54,Male,0,2023-12-26,5,671
275,276,2023-06-02,Basic,Debit,South,39,Female,1,2023-11-17,44,168
276,277,2021-10-06,Premium,PayPal,South,68,Prefer not to answer,1,2022-11-17,409,407
277,278,2020-01-06,Basic,Credit Card,North,33,Male,0,2023-12-17,14,1455
278,279,2021-11-04,Basic,Debit,South,60,Female,0,2023-12-22,9,787
279,280,2021-05-23,Basic,Debit,West,44,Female,0,2023-12-19,12,952
280,281,2021-12-12,Premium,PayPal,North,26,Prefer not to answer,0,2023-12-12,19,749
281,282,2020-02-24,Basic,PayPal,East,31,Male,0,2023-12-01,30,1406
282,283,2020-05-07,Premium,Debit,North,55,Male,1,2022-05-13,597,736
283,284,2022-10-03,Free,PayPal,West,28,Prefer not to answer,0,2023-12-24,7,454
284,285,2022-04-22,Premium,Credit Card,East,68,Prefer not to answer,0,2023-12-23,8,618
285,286,2021-07-14,Basic,Debit,North,50,Prefer not to answer,0,2023-12-09,22,900
286,287,2021-11-17,Basic,PayPal,East,34,Prefer not to answer,0,2023-12-10,21,774
287,288,2022-04-25,Free,Credit Card,East,32,Prefer not to answer,0,2023-12-28,3,615
288,289,2022-01-28,Basic,Credit Card,North,33,Male,0,2023-12-12,19,702
289,290,2022-04-01,Premium,Debit,East,61,Female,0,2023-12-27,4,639
290,291,2023-11-16,Free,Debit,East,25,Female,1,2023-12-03,28,17
291,292,2020-04-25,Premium,Credit Card,West,26,Prefer not to answer,1,2021-12-19,742,603
292,293,2021-06-27,Premium,Credit Card,North,27,Female,0,2023-12-23,8,917
293,294,2023-08-26,Basic,PayPal,South,55,Prefer not to answer,0,2023-12-13,18,127
294,295,2020-03-22,Premium,Credit Card,West,59,Male,0,2023-12-05,26,1379
295,296,2021-11-17,Basic,Credit Card,West,53,Male,0,2023-12-11,20,774
296,297,2021-10-19,Basic,Debit,North,28,Prefer not to answer,0,2023-12-10,21,803
297,298,2021-02-01,Basic,Credit Card,South,67,Prefer not to answer,0,2023-12-20,11,1063
298,299,2021-10-15,Free,PayPal,North,69,Prefer not to answer,0,2023-12-13,18,807
299,300,2020-08-03,Free,Debit,South,59,Male,0,2023-12-03,28,1245
300,301,2020-01-05,Basic,Debit,South,63,Female,0,2023-12-30,1,1456
301,302,2020-07-31,Basic,Credit Card,North,29,Female,0,2023-12-01,30,1248
302,303,2022-09-07,Premium,PayPal,West,34,Male,1,2023-01-12,353,127
303,304,2022-12-20,Basic,Debit,West,33,Female,0,2023-12-24,7,376
304,305,2021-07-28,Basic,Debit,North,20,Prefer not to answer,0,2023-12-31,0,886
305,306,2023-05-04,Basic,PayPal,South,59,Male,0,2023-12-20,11,241
306,307,2020-06-10,Premium,Debit,North,41,Female,1,2020-11-03,1153,146
307,308,2021-04-21,Basic,Credit Card,South,47,Female,0,2023-12-18,13,984
308,309,2022-12-19,Premium,PayPal,North,65,Prefer not to answer,1,2023-05-03,242,135
309,310,2023-08-25,Basic,Credit Card,West,45,Male,1,2023-12-20,11,117
310,311,2023-05-14,Free,PayPal,South,27,Male,0,2023-12-05,26,231
311,312,2020-02-15,Premium,Debit,South,69,Prefer not to answer,1,2020-03-15,1386,29
312,313,2022-11-28,Free,Debit,East,57,Male,1,2022-12-29,367,31
313,314,2022-12-28,Free,PayPal,South,41,Prefer not to answer,1,2023-06-23,191,177
314,315,2021-05-15,Premium,PayPal,East,44,Male,0,2023-12-27,4,960
315,316,2022-11-09,Basic,Debit,West,59,Male,0,2023-12-08,23,417
316,317,2021-08-22,Basic,Credit Card,North,18,Male,0,2023-12-23,8,861
317,318,2022-05-01,Basic,PayPal,West,25,Female,1,2023-06-28,186,423
318,319,2023-06-29,Basic,PayPal,South,44,Male,0,2023-12-31,0,185
319,320,2022-10-13,Premium,Debit,East,24,Male,0,2023-12-05,26,444
320,321,2022-09-24,Basic,PayPal,North,39,Female,0,2023-12-11,20,463
321,322,2023-08-21,Premium,Debit,North,27,Male,0,2023-12-16,15,132
322,323,2022-01-24,Free,PayPal,South,51,Female,0,2023-12-31,0,706
323,324,2021-04-25,Basic,Credit Card,North,58,Prefer not to answer,0,2023-12-03,28,980
324,325,2023-01-25,Basic,Credit Card,East,33,Male,0,2023-12-14,17,340
325,326,2021-01-12,Basic,PayPal,North,29,Prefer not to answer,0,2023-12-08,23,1083
326,327,2021-08-09,Premium,Credit Card,North,32,Male,1,2023-01-30,335,539
327,328,2022-01-03,Basic,Debit,North,48,Male,0,2023-12-11,20,727
328,329,2022-10-20,Free,Debit,East,23,Prefer not to answer,1,2023-11-10,51,386
329,330,2020-04-05,Basic,Credit Card,West,67,Male,0,2023-12-24,7,1365
